cik,ticker,title
320193,AAPL,Apple Inc.
789019,MSFT,MICROSOFT CORP
1652044,GOOGL,Alphabet Inc.
1018724,AMZN,AMAZON COM INC
1045810,NVDA,NVIDIA CORP
1318605,TSLA,"Tesla, Inc."
1067983,BRK-B,BERKSHIRE HATHAWAY INC
1326801,META,"Meta Platforms, Inc."
59478,LLY,ELI LILLY & Co
1403161,V,VISA INC.
1046179,TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD
34088,XOM,EXXON MOBIL CORP
731766,UNH,UNITEDHEALTH GROUP INC
104169,WMT,Walmart Inc.
353278,NVO,NOVO NORDISK A S
19617,JPM,JPMORGAN CHASE & CO
884394,SPY,SPDR S&P 500 ETF TRUST
200406,JNJ,JOHNSON & JOHNSON
1141391,MA,Mastercard Inc
824046,LVMUY,LVMH MOET HENNESSY LOUIS VUITTON
80424,PG,PROCTER & GAMBLE Co
1730168,AVGO,Broadcom Inc.
1047716,LTMAY,LATAM AIRLINES GROUP S.A.
354950,HD,"HOME DEPOT, INC."
93410,CVX,CHEVRON CORP
1341439,ORCL,ORACLE CORP
310158,MRK,"Merck & Co., Inc."
1551152,ABBV,AbbVie Inc.
21344,KO,COCA COLA CO
796343,ADBE,ADOBE INC.
1094517,TM,TOYOTA MOTOR CORP/
77476,PEP,PEPSICO INC
909832,COST,COSTCO WHOLESALE CORP /NEW
937966,ASML,ASML HOLDING NV
70858,BAC,BANK OF AMERICA CORP /DE/
858877,CSCO,"CISCO SYSTEMS, INC."
1577552,BABA,Alibaba Group Holding Ltd
1108524,CRM,"Salesforce, Inc."
1306965,SHEL,Shell plc
901832,AZN,ASTRAZENECA PLC
1114448,NVS,NOVARTIS AG
63908,MCD,MCDONALDS CORP
1467373,ACN,Accenture plc
97745,TMO,THERMO FISHER SCIENTIFIC INC.
1061736,FMX,MEXICAN ECONOMIC DEVELOPMENT INC
78003,PFE,PFIZER INC
1707925,LIN,LINDE PLC
313616,DHR,DANAHER CORP /DE/
1166691,CMCSA,COMCAST CORP
1065280,NFLX,NETFLIX INC
1800,ABT,ABBOTT LABORATORIES
2488,AMD,ADVANCED MICRO DEVICES INC
1283699,TMUS,"T-Mobile US, Inc."
1144967,HDB,HDFC BANK LTD
50863,INTC,INTEL CORP
1000184,SAP,SAP SE
879764,TTE,TotalEnergies SE
72971,WFC,WELLS FARGO & COMPANY/MN
1744489,DIS,Walt Disney Co
896878,INTU,INTUIT INC.
1089113,HSBC,HSBC HOLDINGS PLC
97476,TXN,TEXAS INSTRUMENTS INC
1413329,PM,Philip Morris International Inc.
